Akron Canton Regional Airport,Akron,United States,CAK,KCAK,40.9160833,-81.4421944,1228,-5,A,America/New_York
Ted Stevens Anchorage Intl,Anchorage,United States,ANC,PANC,61.174361,-149.996361,152,-9,A,America/Anchorage
Hartsfield Jackson Atlanta Intl,Atlanta,United States,ATL,KATL,33.636719,-84.428067,1026,-5,A,America/New_York
Atlantic City Intl,Atlantic City,United States,ACY,KACY,39.457583,-74.577167,75,-5,A,America/New_York
Austin Bergstrom Intl,Austin,United States,AUS,KAUS,30.194528,-97.669889,542,-6,A,America/Chicago
Baltimore Washington Intl,Baltimore,United States,BWI,KBWI,39.175361,-76.668333,146,-5,A,America/New_York
Birmingham Intl,Birmingham,United States,BHM,KBHM,33.562942,-86.75355,644,-6,A,America/Chicago
General Edward Lawrence Logan Intl,Boston,United States,BOS,KBOS,42.364347,-71.005181,19,-5,A,America/New_York
Buffalo Niagara Intl,Buffalo,United States,BUF,KBUF,42.940525,-78.732167,724,-5,A,America/New_York
Charlotte Douglas Intl,Charlotte,United States,CLT,KCLT,35.214,-80.943139,748,-5,A,America/New_York
Charleston Afb Intl,Charleston,United States,CHS,KCHS,32.898647,-80.040528,45,-5,A,America/New_York
Chicago Midway Intl,Chicago,United States,MDW,KMDW,41.785972,-87.752417,620,-6,A,America/Chicago
Chicago Rockford International Airport ,Rockford,United States,RFD,KRFD,42.1953611,-89.0972222,742,-6,A,America/Chicago
Chicago Ohare Intl,Chicago,United States,ORD,KORD,41.978603,-87.904842,668,-6,A,America/Chicago
Cincinnati Northern Kentucky Intl,Cincinnati,United States,CVG,KCVG,39.048836,-84.667822,896,-5,A,America/New_York
Cleveland Hopkins Intl,Cleveland,United States,CLE,KCLE,41.411689,-81.849794,791,-5,A,America/New_York
Port Columbus Intl,Columbus,United States,CMH,KCMH,39.997972,-82.891889,815,-5,A,America/New_York
Rickenbacker Intl,Columbus,United States,LCK,KLCK,39.813786,-82.927822,744,-5,A,America/New_York
Dallas Fort Worth Intl,Dallas-Fort Worth,United States,DFW,KDFW,32.896828,-97.037997,607,-6,A,America/Chicago
Denver Intl,Denver,United States,DEN,KDEN,39.861656,-104.673178,5431,-7,A,America/Denver
Detroit Metro Wayne Co,Detroit,United States,DTW,KDTW,42.212444,-83.353389,645,-5,A,America/New_York
El Paso Intl,El Paso,United States,ELP,KELP,31.80725,-106.377583,3958,-7,A,America/Denver
Fairbanks Intl,Fairbanks,United States,FAI,PAFA,64.815114,-147.856267,434,-9,A,America/Anchorage
Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,FLL,KFLL,26.072583,-80.15275,9,-5,A,America/New_York
Southwest Florida Intl,Fort Myers,United States,RSW,KRSW,26.536167,-81.755167,30,-5,A,America/New_York
Fresno Yosemite Intl,Fresno,United States,FAT,KFAT,36.776194,-119.71814,336,-8,A,America/Los_Angeles
Bradley Intl,Windsor Locks,United States,BDL,KBDL,41.938889,-72.683222,173,-5,A,America/New_York
Honolulu Intl,Honolulu,United States,HNL,PHNL,21.318681,-157.922428,13,-10,N,Pacific/Honolulu
George Bush Intercontinental,Houston,United States,IAH,KIAH,29.984433,-95.341442,97,-6,A,America/Chicago
William P Hobby,Houston,United States,HOU,KHOU,29.645419,-95.278889,46,-6,A,America/Chicago
Huntsville International Airport-Carl T Jones Field,Huntsville,United States,HSV,KHSV,34.6371944,-86.7750556,629,-6,A,America/Chicago
Indianapolis Intl,Indianapolis,United States,IND,KIND,39.717331,-86.294383,797,-5,A,America/New_York
Jacksonville Intl,Jacksonville,United States,JAX,KJAX,30.494056,-81.687861,30,-5,A,America/New_York
Juneau Intl,Juneau,United States,JNU,PAJN,58.354972,-134.576278,21,-9,A,America/Anchorage
Kansas City Intl,Kansas City,United States,MCI,KMCI,39.297606,-94.713905,1026,-6,A,America/Chicago
Ketchikan Intl,Ketchikan,United States,KTN,PAKT,55.355556,-131.71375,88,-9,A,America/Anchorage
Key West Intl,Key West,United States,EYW,KEYW,24.556111,-81.759556,3,-5,A,America/New_York
Kona Intl At Keahole,Kona,United States,KOA,PHKO,19.738767,-156.045631,47,-10,N,Pacific/Honolulu
Capital City,Lansing,United States,LAN,KLAN,42.7787,-84.587357,861,-5,A,America/New_York
Mc Carran Intl,Las Vegas,United States,LAS,KLAS,36.080056,-115.15225,2141,-8,A,America/Los_Angeles
Los Angeles Intl,Los Angeles,United States,LAX,KLAX,33.942536,-118.408075,126,-8,A,America/Los_Angeles
Louisville International Airport,Louisville,United States,SDF,KSDF,38.1740858,-85.7364989,501,-5,A,America/New_York
Melbourne Intl,Melbourne,United States,MLB,KMLB,28.102753,-80.645258,33,-5,A,America/New_York
Memphis Intl,Memphis,United States,MEM,KMEM,35.042417,-89.976667,341,-6,A,America/Chicago
Miami Intl,Miami,United States,MIA,KMIA,25.79325,-80.290556,8,-5,A,America/New_York
General Mitchell Intl,Milwaukee,United States,MKE,KMKE,42.947222,-87.896583,723,-6,A,America/Chicago
Minneapolis St Paul Intl,Minneapolis,United States,MSP,KMSP,44.881956,-93.221767,841,-6,A,America/Chicago
Myrtle Beach Intl,Myrtle Beach,United States,MYR,KMYR,33.67975,-78.928333,25,-5,A,America/New_York
Nashville Intl,Nashville,United States,BNA,KBNA,36.124472,-86.678194,599,-6,A,America/Chicago
Louis Armstrong New Orleans Intl,New Orleans,United States,MSY,KMSY,29.993389,-90.258028,4,-6,A,America/Chicago
John F Kennedy Intl,New York,United States,JFK,KJFK,40.639751,-73.778925,13,-5,A,America/New_York
Newark Liberty Intl,Newark,United States,EWR,KEWR,40.6925,-74.168667,18,-5,A,America/New_York
Metropolitan Oakland Intl,Oakland,United States,OAK,KOAK,37.721278,-122.220722,9,-8,A,America/Los_Angeles
Ontario Intl,Ontario,United States,ONT,KONT,34.056,-117.601194,944,-8,A,America/Los_Angeles
John Wayne Arpt Orange Co,Santa Ana,United States,SNA,KSNA,33.675667,-117.868222,56,-8,A,America/Los_Angeles
Orlando Intl,Orlando,United States,MCO,KMCO,28.429394,-81.308994,96,-5,A,America/New_York
Orlando Sanford Intl,Sanford,United States,SFB,KSFB,28.777639,-81.237489,55,-5,A,America/New_York
Palm Springs Intl,Palm Springs,United States,PSP,KPSP,33.829667,-116.506694,477,-8,A,America/Los_Angeles
Panama City-NW Florida Bea.,Panama City,United States,ECP,KECP,30.3417,-85.7973,69,-6,A,America/Chicago
Philadelphia Intl,Philadelphia,United States,PHL,KPHL,39.871944,-75.241139,36,-5,A,America/New_York
Phoenix Sky Harbor Intl,Phoenix,United States,PHX,KPHX,33.434278,-112.011583,1135,-7,N,America/Phoenix
Pittsburgh Intl,Pittsburgh,United States,PIT,KPIT,40.491467,-80.232872,1204,-5,A,America/New_York
Portland Intl,Portland,United States,PDX,KPDX,45.588722,-122.5975,30,-8,A,America/Los_Angeles
Theodore Francis Green State,Providence,United States,PVD,KPVD,41.732581,-71.420383,55,-5,A,America/New_York
Raleigh Durham Intl,Raleigh-durham,United States,RDU,KRDU,35.877639,-78.787472,435,-5,A,America/New_York
Reno Tahoe Intl,Reno,United States,RNO,KRNO,39.499108,-119.768108,4415,-8,A,America/Los_Angeles
Greater Rochester Intl,Rochester,United States,ROC,KROC,43.118866,-77.672389,559,-5,A,America/New_York
Sacramento Intl,Sacramento,United States,SMF,KSMF,38.695417,-121.590778,27,-8,A,America/Los_Angeles
Salt Lake City Intl,Salt Lake City,United States,SLC,KSLC,40.788389,-111.977772,4227,-7,A,America/Denver
San Antonio Intl,San Antonio,United States,SAT,KSAT,29.533694,-98.469778,809,-6,A,America/Chicago
San Diego Intl,San Diego,United States,SAN,KSAN,32.733556,-117.189667,17,-8,A,America/Los_Angeles
San Francisco Intl,San Francisco,United States,SFO,KSFO,37.618972,-122.374889,13,-8,A,America/Los_Angeles
Norman Y Mineta San Jose Intl,San Jose,United States,SJC,KSJC,37.3626,-121.929022,62,-8,A,America/Los_Angeles
Luis Munoz Marin Intl,San Juan,Puerto Rico,SJU,TJSJ,18.439417,-66.001833,9,-4,U,America/Puerto_Rico
Sarasota Bradenton Intl,Sarasota,United States,SRQ,KSRQ,27.395444,-82.554389,30,-5,A,America/New_York
Kenmore Air Harbor Seaplane Base,Seattle,United States,LKE,KW55,47.629,-122.339,14,-8,A,America/Los_Angeles
Boeing Fld King Co Intl,Seattle,United States,BFI,KBFI,47.53,-122.301947,21,-8,A,America/Los_Angeles
Seattle Tacoma Intl,Seattle,United States,SEA,KSEA,47.449,-122.309306,433,-8,A,America/Los_Angeles
Snohomish Co,Everett,United States,PAE,KPAE,47.906342,-122.281564,606,-8,A,America/Los_Angeles
Spokane Intl,Spokane,United States,GEG,KGEG,47.619861,-117.533833,2376,-8,A,America/Los_Angeles
Lambert St Louis Intl,St. Louis,United States,STL,KSTL,38.748697,-90.370028,618,-6,A,America/Chicago
St Petersburg Clearwater Intl,St. Petersburg,United States,PIE,KPIE,27.910167,-82.687389,10,-5,A,America/New_York
Syracuse Hancock Intl,Syracuse,United States,SYR,KSYR,43.111187,-76.106311,421,-5,A,America/New_York
Tallahassee Rgnl,Tallahassee,United States,TLH,KTLH,30.396528,-84.350333,81,-5,A,America/New_York
Tampa Intl,Tampa,United States,TPA,KTPA,27.975472,-82.53325,26,-5,A,America/New_York
Ronald Reagan Washington Natl,Washington,United States,DCA,KDCA,38.852083,-77.037722,15,-5,A,America/New_York
Washington Dulles Intl,Washington,United States,IAD,KIAD,38.944533,-77.455811,313,-5,A,America/New_York
Palm Beach Intl,West Palm Beach,United States,PBI,KPBI,26.683161,-80.095589,19,-5,A,America/New_York
Birmingham,Birmingham,United Kingdom,BHX,EGBB,52.453856,-1.748028,327,0,E,Europe/London
Bournemouth,Bournemouth,United Kingdom,BOH,EGHH,50.78,-1.8425,38,0,E,Europe/London
Bristol,Bristol,United Kingdom,BRS,EGGD,51.382669,-2.719089,622,0,E,Europe/London
Cardiff,Cardiff,United Kingdom,CWL,EGFF,51.396667,-3.343333,220,0,E,Europe/London
Robin Hood Doncaster Sheffield Airport, Doncaster-Sheffield,United Kingdom,DSA,EGCN,53.474722,-1.004444,55,0,E,Europe/London
Durham Tees Valley Airport,Teesside,United Kingdom,MME,EGNV,54.509189,-1.429406,120,0,E,Europe/London
Nottingham East Midlands,East Midlands,United Kingdom,EMA,EGNX,52.831111,-1.328056,306,0,E,Europe/London
Exeter,Exeter,United Kingdom,EXT,EGTE,50.734444,-3.413889,102,0,E,Europe/London
Leeds Bradford,Leeds,United Kingdom,LBA,EGNM,53.865897,-1.660569,681,0,E,Europe/London
Liverpool,Liverpool,United Kingdom,LPL,EGGP,53.333611,-2.849722,80,0,E,Europe/London
City,London,United Kingdom,LCY,EGLC,51.505278,0.055278,19,0,E,Europe/London
Gatwick,London,United Kingdom,LGW,EGKK,51.148056,-0.190278,202,0,E,Europe/London
Heathrow,London,United Kingdom,LHR,EGLL,51.4775,-0.461389,83,0,E,Europe/London
Luton,London,United Kingdom,LTN,EGGW,51.874722,-0.368333,526,0,E,Europe/London
Southend,Southend,United Kingdom,SEN,EGMC,51.571389,0.695556,49,0,E,Europe/London
Stansted,London,United Kingdom,STN,EGSS,51.885,0.235,348,0,E,Europe/London
Manchester,Manchester,United Kingdom,MAN,EGCC,53.353744,-2.27495,257,0,E,Europe/London
Newcastle,Newcastle,United Kingdom,NCL,EGNT,55.0375,-1.691667,266,0,E,Europe/London
St Mawgan,Newquai,United Kingdom,NQY,EGDG,50.440558,-4.995408,390,0,E,Europe/London
Norwich,Norwich,United Kingdom,NWI,EGSH,52.675833,1.282778,117,0,E,Europe/London
Southampton,Southampton,United Kingdom,SOU,EGHI,50.950261,-1.356803,44,0,E,Europe/London
Dyce,Aberdeen,United Kingdom,ABZ,EGPD,57.201944,-2.197778,215,0,E,Europe/London
Edinburgh,Edinburgh,United Kingdom,EDI,EGPH,55.95,-3.3725,135,0,E,Europe/London
Glasgow,Glasgow,United Kingdom,GLA,EGPF,55.871944,-4.433056,26,0,E,Europe/London
Prestwick,Prestwick,United Kingdom,PIK,EGPK,55.509444,-4.586667,65,0,E,Europe/London
Inverness,Inverness,United Kingdom,INV,EGPE,57.5425,-4.0475,31,0,E,Europe/London
Belfast Intl,Belfast,United Kingdom,BFS,EGAA,54.6575,-6.215833,268,0,E,Europe/London
Belfast City,Belfast,United Kingdom,BHD,EGAC,54.618056,-5.8725,15,0,E,Europe/London
City of Derry,Londonderry,United Kingdom,LDY,EGAE,55.042778,-7.161111,22,0,E,Europe/London
A Coruna,La Coruna,Spain,LCG,LECO,43.302061,-8.377256,326,1,E,Europe/Madrid
Alicante,Alicante,Spain,ALC,LEAL,38.282169,-0.558156,142,1,E,Europe/Madrid
Almeria,Almeria,Spain,LEI,LEAM,36.843936,-2.370097,70,1,E,Europe/Madrid
Asturias,Aviles,Spain,OVD,LEAS,43.563567,-6.034622,416,1,E,Europe/Madrid
Barcelona,Barcelona,Spain,BCN,LEBL,41.297078,2.078464,12,1,E,Europe/Madrid
Fuerteventura,Fuerteventura,Spain,FUE,GCFV,28.452717,-13.863761,83,0,E,Atlantic/Canary
Girona,Gerona,Spain,GRO,LEGE,41.900969,2.760547,468,1,E,Europe/Madrid
Gran Canaria,Gran Canaria,Spain,LPA,GCLP,27.931886,-15.386586,78,0,E,Atlantic/Canary
Granada,Granada,Spain,GRX,LEGR,37.188731,-3.777356,1860,1,E,Europe/Madrid
Huesca-Pirineos Airport,Huesca,Spain,HSK,LEHC,42.080833,-0.323333,1768,1,U,Europe/Madrid
Ibiza,Ibiza,Spain,IBZ,LEIB,38.872858,1.373117,20,1,E,Europe/Madrid
Jerez,Jerez,Spain,XRY,LEJR,36.744622,-6.060111,93,1,E,Europe/Madrid
La Palma,Santa Cruz De La Palma,Spain,SPC,GCLA,28.626478,-17.755611,107,0,E,Atlantic/Canary
Lanzarote,Las Palmas,Spain,ACE,GCRR,28.945464,-13.605225,47,0,E,Atlantic/Canary
Lleida-Alguaire Airport,Lleida,Spain,ILD,LEDA,41.727778,0.535833,1148,1,E,Europe/Madrid
Barajas,Madrid,Spain,MAD,LEMD,40.493556,-3.566764,2000,1,E,Europe/Madrid
Malaga,Malaga,Spain,AGP,LEMG,36.6749,-4.499106,52,1,E,Europe/Madrid
Menorca,Menorca,Spain,MAH,LEMH,39.862597,4.218647,298,1,E,Europe/Madrid
Murcia San Javier,Murcia,Spain,MJV,LELC,37.774972,-0.812389,11,1,E,Europe/Madrid
Son Sant Joan,Palma de Mallorca,Spain,PMI,LEPA,39.55361,2.727778,24,1,E,Europe/Madrid
Reus,Reus,Spain,REU,LERS,41.147392,1.167172,234,1,E,Europe/Madrid
Santander,Santander,Spain,SDR,LEXJ,43.427064,-3.820006,16,1,E,Europe/Madrid
Santiago,Santiago,Spain,SCQ,LEST,42.896333,-8.415144,1213,1,E,Europe/Madrid
Sevilla,Sevilla,Spain,SVQ,LEZL,37.418,-5.893106,111,1,E,Europe/Madrid
Tenerife Norte,Tenerife,Spain,TFN,GCXO,28.482653,-16.341536,2073,0,E,Atlantic/Canary
Tenerife Sur,Tenerife,Spain,TFS,GCTS,28.044475,-16.572489,209,0,E,Atlantic/Canary
Valencia,Valencia,Spain,VLC,LEVC,39.489314,-0.481625,225,1,E,Europe/Madrid
Valladolid,Valladolid,Spain,VLL,LEVD,41.706111,-4.851944,2775,1,E,Europe/Madrid
Zaragoza Ab,Zaragoza,Spain,ZAZ,LEZG,41.666242,-1.041553,863,1,E,Europe/Madrid